TIME,LABEL
0.017708333,0.0
0.889583349,1.0
1.731250048,2.0
2.548437595,3.0
3.348958254,4.0
4.169791698,5.0
5.029166698,6.0
5.863541603,7.0
6.670312405,8.0
7.459374905,9.0
8.280208588,10.0
9.092708588,11.0
9.974479675,12.0
10.751562119,13.0
11.574480057,14.0
12.495833397,15.0
13.397396088,16.0
14.294270515,17.0
15.141666412,18.0
15.974479675,19.0
16.812500000,20.0
17.631771088,21.0
18.477083206,22.0
19.335416794,23.0
20.153821945,24.0
20.955207825,25.0
21.813194275,26.0
22.613542557,27.0
23.444097519,28.0
24.237499237,29.0
25.183679581,30.0
26.195833206,31.0
27.110937119,32.0
27.932811737,33.0
28.788541794,34.0
29.599998474,35.0
30.373958588,36.0
31.196876526,37.0
32.054512024,38.0
32.894790649,39.0
33.685935974,40.0
34.503124237,41.0
35.313018799,42.0
36.171875000,43.0
37.044792175,44.0
37.803123474,45.0
38.632812500,46.0
39.552082062,47.0
